Tanggal,Kasus_harian,Total_kasus,Kasus_aktif,Sembuh_baru,Sembuh,Meninggal_baru,Meninggal_Dunia
2021-07-01,24836,2203108,253826,9874,1890287,504,58995
2021-07-02,25830,2228938,267539,11578,1901865,539,59534
2021-07-03,27913,2256851,281677,13282,1915147,493,60027
2021-07-04,27233,2284084,295228,13127,1928274,555,60582
2021-07-05,29745,2313829,309999,14416,1942690,558,61140
2021-07-06,31189,2345018,324597,15863,1958553,728,61868
2021-07-07,34379,2379397,343101,14835,1973388,1040,62908
2021-07-08,38391,2417788,359455,21185,1994573,852,63760
2021-07-09,38124,2455912,367733,28975,2023548,871,64631
2021-07-10,35094,2491006,373440,28561,2052109,826,65457
2021-07-11,36197,2527203,376015,32615,2084724,1007,66464
2021-07-12,40427,2567630,380797,34754,2119478,891,67355
2021-07-13,47899,2615529,407709,20123,2139601,864,68219
2021-07-14,54517,2670046,443473,17762,2157363,991,69210
2021-07-15,56757,2726803,480199,19049,2176412,982,70192
2021-07-16,54000,2780803,504915,28079,2204491,1205,71397
2021-07-17,51952,2832755,527872,27903,2232394,1092,72489
2021-07-18,44721,2877476,542236,29264,2261658,1093,73582
2021-07-19,34257,2911733,542938,32217,2293875,1338,74920
2021-07-20,38325,2950058,550192,29791,2323666,1280,76200
2021-07-21,33772,2983830,549694,32887,2356553,1383,77583
2021-07-22,49509,3033339,561384,36370,2392923,1449,79032
2021-07-23,49071,3082410,569901,38988,2431911,1566,80598
2021-07-24,45416,3127826,574135,39767,2471678,1415,82013
2021-07-25,38679,3166505,573908,37640,2509318,1266,83279
2021-07-26,28228,3194733,560275,40374,2549692,1487,84766
2021-07-27,45203,3239936,556281,47128,2596820,2069,86835
2021-07-28,47791,3287727,558392,43856,2640676,1824,88659
2021-07-29,43479,3331206,554484,45494,2686170,1893,90552
2021-07-30,41168,3372374,549343,44550,2730720,1759,92311
2021-07-31,37284,3409658,545447,39372,2770092,1808,94119
2021-08-01,30738,3440396,535135,39446,2809538,1604,95723
2021-08-02,22404,3462800,523164,32807,2842345,1568,97291
2021-08-03,33900,3496700,524142,31324,2873669,1598,98889
2021-08-04,35867,3532567,524011,34251,2907920,1747,100636
2021-08-05,35764,3568331,518310,39726,2947646,1739,102375
2021-08-06,39532,3607863,507375,48832,2996478,1635,104010
2021-08-07,31753,3639616,497824,39716,3036194,1588,105598
2021-08-08,26415,3666031,474233,48508,3084702,1498,107096
2021-08-09,20709,3686740,448508,44959,3129661,1475,108571
2021-08-10,32081,3718821,437055,41486,3171147,2048,110619
2021-08-11,30625,3749446,426170,39931,3211078,1579,112198
2021-08-12,24709,3774155,412776,36637,3247715,1466,113664
2021-08-13,30788,3804943,400129,42003,3289718,1432,115096
2021-08-14,28598,3833541,395577,31880,3321598,1270,116366
2021-08-15,20813,3854354,384807,30361,3351959,1222,117588
2021-08-16,17384,3871738,371021,29925,3381884,1245,118833
2021-08-17,20741,3892479,358357,32225,3414109,1180,120013
2021-08-18,15768,3908247,343203,29794,3443903,1128,121141
2021-08-19,22053,3930300,334752,29012,3472915,1492,122633
2021-08-20,20004,3950304,327286,26122,3499037,1348,123981
2021-08-21,16744,3967048,319658,23011,3522048,1361,125342
2021-08-22,12408,3979456,306760,24276,3546324,1030,126372
2021-08-23,9604,3989060,290764,24758,3571082,842,127214
2021-08-24,19106,4008166,273750,35082,3606164,1038,128252
2021-08-25,18671,4026837,257677,33703,3639867,1041,129293
2021-08-26,16899,4043736,243588,30099,3669966,889,130182
2021-08-27,12618,4056354,236317,19290,3689256,599,130781
2021-08-28,10050,4066404,227182,18594,3707850,591,131372
2021-08-29,7427,4073831,217590,16468,3724318,551,131923
2021-08-30,5436,4079267,203060,19398,3743716,568,132491
2021-08-31,10534,4089801,196281,16781,3760497,532,133023
2021-09-01,10337,4100138,189571,16394,3776891,653,133676
2021-09-02,8955,4109093,176638,21208,3798099,680,134356
2021-09-03,7797,4116890,168317,15544,3813643,574,134930
2021-09-04,6727,4123617,160699,13806,3827449,539,135469
2021-09-05,5403,4129020,155519,10191,3837640,392,135861
2021-09-06,4413,4133433,146271,13049,3850689,612,136473
2021-09-07,7201,4140634,138630,14159,3864848,683,137156
2021-09-08,6731,4147365,132823,11912,3876760,626,137782
2021-09-09,5990,4153355,127829,10650,3887410,334,138116
2021-09-10,5376,4158731,118534,14356,3901766,315,138431
2021-09-11,5001,4163732,115679,7586,3909352,270,138701
2021-09-12,3779,4167511,109869,9401,3918753,188,138889
2021-09-13,2577,4170088,99696,12474,3931227,276,139165
2021-09-14,4128,4174216,92328,11246,3942473,250,139415
2021-09-15,3948,4178164,84963,11046,3953519,267,139682
2021-09-16,3145,4181309,73238,14633,3968152,237,139919
2021-09-17,3835,4185144,68942,7912,3976064,219,140138
2021-09-18,3385,4188529,65066,7076,3983140,185,140323
2021-09-19,2234,4190763,60969,6186,3989326,145,140468
2021-09-20,1932,4192695,55936,6799,3996125,166,140634
2021-09-21,3263,4195958,52447,6581,4002706,171,140805
2021-09-22,2720,4198678,49662,5356,4008062,149,140954
2021-09-23,2881,4201559,47957,4426,4012488,160,141114
2021-09-24,2557,4204116,45803,4567,4017055,144,141258
2021-09-25,2137,4206253,44071,3746,4020801,123,141381
2021-09-26,1760,4208013,42769,2976,4023777,86,141467
2021-09-27,1390,4209403,40270,3771,4027548,118,141585
2021-09-28,2057,4211460,38652,3551,4031099,124,141709
2021-09-29,1954,4213414,37412,3077,4034176,117,141826
2021-09-30,1690,4215104,36141,2848,4037024,113,141939
2021-10-01,1624,4216728,34867,2811,4039835,87,142026
2021-10-02,1414,4218142,33812,2380,4042215,89,142115
2021-10-03,1142,4219284,32876,2020,4044235,58,142173
2021-10-04,922,4220206,31054,2656,4046891,88,142261
2021-10-05,1404,4221610,29823,2558,4049449,77,142338
2021-10-06,1484,4223094,28381,2851,4052300,75,142413
2021-10-07,1393,4224487,27747,1946,4054246,81,142494
2021-10-08,1384,4225871,25551,3514,4057760,66,142560
2021-10-09,1167,4227038,25159,1507,4059267,52,142612
2021-10-10,894,4227932,24430,1584,4060851,39,142651
2021-10-11,620,4228552,22541,2444,4063295,65,142716
2021-10-12,1261,4229813,21625,2130,4065425,47,142763
2021-10-13,1233,4231046,20551,2259,4067684,48,142811
2021-10-14,1053,4232099,19852,1715,4069399,37,142848
2021-10-15,915,4233014,19318,1408,4070807,41,142889
2021-10-16,997,4234011,18746,1525,4072332,44,142933
2021-10-17,747,4234758,18388,1086,4073418,19,142952
2021-10-18,626,4235384,17374,1593,4075011,47,142999
2021-10-19,903,4236287,16697,1530,4076541,50,143049
2021-10-20,914,4237201,16376,1207,4077748,28,143077
2021-10-21,633,4237834,15594,1372,4079120,43,143120
2021-10-22,760,4238594,15090,1231,4080351,33,143153
2021-10-23,802,4239396,14803,1066,4081417,23,143176
2021-10-24,623,4240019,14360,1037,4082454,29,143205
2021-10-25,460,4240479,13554,1236,4083690,30,143235
2021-10-26,611,4241090,12989,1141,4084831,35,143270
2021-10-27,719,4241809,12735,944,4085775,29,143299
2021-10-28,723,4242532,12440,984,4086759,34,143333
2021-10-29,683,4243215,12414,681,4087440,28,143361
2021-10-30,620,4243835,12309,698,4088138,27,143388
2021-10-31,523,4244358,12318,497,4088635,17,143405
2021-11-01,403,4244761,11919,784,4089419,18,143423
2021-11-02,612,4245373,11629,868,4090287,34,143457
2021-11-03,801,4246174,11592,814,4091101,24,143481
2021-11-04,628,4246802,11364,837,4091938,19,143500
2021-11-05,518,4247320,11215,648,4092586,19,143519
2021-11-06,401,4247721,10979,622,4093208,15,143534
2021-11-07,444,4248165,10825,587,4093795,11,143545
2021-11-08,244,4248409,9774,1283,4095078,12,143557
2021-11-09,434,4248843,9602,585,4095663,21,143578
2021-11-10,480,4249323,9537,531,4096194,14,143592
2021-11-11,435,4249758,9486,470,4096664,16,143608
2021-11-12,399,4250157,9305,560,4097224,20,143628
2021-11-13,359,4250516,9198,451,4097675,15,143643
2021-11-14,339,4250855,9018,503,4098178,16,143659
